2326	2472	2532	2417	2320	2251	2186	2332	1981	2073	2151	2105	2095	2156	2186	2187	2058	2059	2132	2092	2049	2111	2028	1893	2037	2099	2150	2107	1981	2084	2160	2225	2135	2056	2146	2271	2098	2135	1941	2119
2478	2569	2486	2464	2397	2478	2302	2184	2179	1946	2009	2038	2060	2053	2141	2044	2152	2030	2082	1993	1895	1885	1954	1874	2008	1956	2015	1986	1940	2014	2102	2188	2009	2127	2262	2191	2092	2015	2032	2254
2458	2539	2583	2650	2566	2409	2300	2257	2301	2227	2177	1933	1937	2032	2032	1988	2021	2008	1898	1888	1841	1787	1877	1794	1874	1873	1928	1974	1991	1912	1992	1963	1898	2034	2122	2082	2105	2212	1897	2015
2480	2489	2471	2576	2481	2430	2314	2321	2231	2243	2104	2012	1896	1865	1993	1806	1866	1841	1816	1844	1746	1799	1744	1732	1899	1975	1784	1949	1747	1796	1894	1896	2001	2043	1970	2187	2163	2283	2158	2082
2437	2514	2450	2610	2356	2277	2328	2232	2210	2199	2132	2020	1986	1887	1776	1803	1676	1709	1692	1704	1688	1601	1629	1716	1771	1891	1887	1737	1759	1846	2017	2077	2085	1879	1997	2086	2184	1897	1850	1997
2318	2432	2331	2393	2214	2203	2309	2246	2234	2166	1994	2105	1991	1935	1916	1856	1764	1670	1591	1614	1667	1556	1543	1652	1765	1774	1784	1690	1818	1946	1970	2002	1943	1927	2038	2022	2013	1921	2052	1971
2276	2287	2269	2162	2179	2204	2100	2243	2178	2297	1939	2115	2075	1974	1951	1880	1847	1804	1643	1509	1613	1495	1520	1558	1728	1663	1713	1860	1859	1902	1825	1934	1794	1973	1924	2036	2044	2234	1983	1971
2151	2168	2108	2101	2138	2102	2097	2113	2098	2049	1860	1962	2010	2194	2017	1963	1926	1777	1649	1738	1537	1458	1509	1642	1612	1686	1750	1833	1718	1823	1850	1821	1904	1987	1926	2098	2156	1919	2270	2173
2081	2031	2067	2033	2075	1978	2024	2069	1998	1976	2021	1900	1957	2070	2020	1953	1848	1834	1794	1886	1592	1491	1488	1726	1630	1716	1779	1759	1709	1780	1702	1692	1783	1798	1944	1966	1907	1828	1851	1903
1937	1958	2067	1902	2089	1937	2022	1983	1977	1937	1899	1836	1920	1803	1880	1854	1855	1779	1687	1659	1576	1456	1413	1522	1554	1671	1695	1624	1649	1803	1721	1688	1780	1783	1873	1983	1998	1759	1817	1872
2033	1926	1839	1874	1841	1924	1853	1958	1998	2042	1993	1719	1818	1912	1763	1728	1925	1768	1639	1656	1567	1496	1430	1499	1568	1539	1474	1488	1596	1573	1596	1636	1723	1761	1924	1851	2003	1757	1692	1898
1921	1883	1946	1889	1811	1954	1809	1952	2089	1922	1825	1712	1795	1952	1771	1814	1658	1674	1658	1514	1512	1523	1280	1404	1486	1421	1504	1434	1515	1472	1518	1610	1575	1721	1918	1836	1852	1750	1751	1767
1816	1687	1975	1836	1782	1738	1764	1871	1930	1892	1747	1750	1829	1944	2013	1930	1695	1711	1502	1522	1561	1317	1204	1324	1521	1600	1380	1369	1363	1420	1414	1444	1529	1592	1686	1679	1854	1722	1668	1733
1844	1885	1788	1910	1850	1657	2175	2100	2145	2048	1639	1719	1977	1953	2029	2100	1726	1794	1453	1424	1418	1281	1139	1291	1401	1558	1390	1308	1274	1383	1357	1424	1487	1707	1805	1740	1838	1804	1552	1581
1945	1855	1884	1895	1823	1784	1679	1662	1632	1745	1624	1677	1689	1986	2020	2192	1617	1530	1475	1382	1476	1229	1099	1248	1313	1289	1424	1336	1155	1295	1348	1461	1568	1609	1756	1796	1862	1799	1622	1605
1906	1872	1947	1860	1831	1747	1510	1666	1606	1540	1567	1526	1609	1620	1641	1639	1565	1534	1612	1447	1234	1139	1392	1305	1361	1252	1177	1170	1315	1265	1336	1465	1622	1631	1704	1785	1748	1764	1664	1814
1929	1972	2118	1933	1830	1794	1786	1730	1747	1592	1618	1561	1516	1433	1643	1549	1445	1499	1465	1390	1361	1157	1426	1090	1194	1181	1092	1112	1196	1281	1353	1470	1602	1645	1599	1684	1708	1776	1670	1754
2034	2076	1989	1898	1951	1793	1814	1933	1944	1796	1773	1830	1347	1417	1485	1428	1479	1420	1417	1279	1308	1221	1202	1105	1142	1298	1083	1080	1165	1255	1408	1397	1510	1567	1621	1619	1635	1602	1653	1739
2164	2158	2027	1932	1859	1777	1878	1719	1928	1863	1781	1492	1470	1277	1363	1353	1418	1338	1413	1424	1274	1150	1191	1030	1130	1111	1028	1243	1135	1278	1431	1454	1498	1364	1550	1499	1579	1666	1464	1563
2309	2130	2017	2030	1834	1810	1914	1788	1866	1935	1839	2003	1494	1563	1619	1384	1236	1263	1337	1327	1327	1202	1066	949	1081	956	913	1103	1116	1201	1302	1483	1505	1343	1418	1427	1459	1725	1613	1651
2253	2150	2077	2030	1863	2059	1977	1779	1895	1927	1891	2021	1695	1520	1394	1434	1637	1180	1150	1268	1241	1220	1177	884	877	858	917	1096	1140	1107	1466	1334	1330	1394	1328	1407	1387	1753	1669	1628
2302	2207	2073	1976	1895	2023	1963	1881	1909	1995	1893	1762	1655	1500	1440	1493	1591	1288	1129	1270	1203	1134	968	1077	834	847	945	971	1020	1105	1213	1263	1173	1226	1263	1309	1410	1368	1541	1535
2353	2240	2094	1972	2005	2262	1940	1836	1945	2031	1758	1589	1622	1537	1438	1543	1319	1170	1097	1205	1015	1095	986	777	688	802	913	835	949	980	1130	1179	1256	1340	1337	1494	1387	1502	1413	1497
2446	2176	2089	1988	2005	2262	2262	1915	2069	2050	1752	1646	1498	1553	1322	1597	1293	1258	1030	1055	1129	1154	944	851	655	762	769	800	1049	1162	1138	1170	1309	1359	1540	1591	1555	1643	1513	1522
2549	2573	2076	2079	2124	2201	2017	1896	2022	2194	1734	1688	1567	1370	1292	1291	1288	1253	1025	978	940	900	859	832	621	699	785	838	957	1029	1084	1150	1385	1431	1392	1489	1605	1624	1556	1560
2727	2130	2155	2226	2138	2092	2047	1958	2079	2182	1736	1674	1582	1397	1310	1184	1145	1108	1070	973	932	951	892	759	581	713	818	858	830	922	1039	1146	1326	1368	1619	1459	1818	1698	1593	1587
2737	2122	2240	2368	2280	2072	2028	2171	2108	2158	2236	2314	1620	1426	1312	1221	1130	1092	1055	1056	1036	969	916	646	708	720	727	768	794	942	939	1010	1255	1460	1379	1424	1599	1658	1757	1748
2716	2150	2221	2349	2253	2156	2110	2058	2146	2231	2270	2323	1618	1504	1334	1264	1240	1076	1038	1067	988	1066	1049	642	730	587	695	731	942	969	883	1061	1157	1266	1344	1407	1526	1682	1732	1771
2255	2841	2674	2535	2188	2183	2021	2160	2181	2242	2430	2505	1565	1476	1367	1242	1178	1170	1105	992	1033	1142	1247	607	642	621	647	697	717	865	904	1133	1078	1206	1308	1429	1485	1571	1691	1810
2310	2917	2624	2484	2411	2185	2217	2363	2273	1868	2560	2515	1524	1430	1405	1221	1191	1140	1120	888	765	711	1242	794	645	618	711	796	764	809	794	1020	994	1263	1241	1342	1433	1665	1823	1983
2744	2805	2580	2372	2261	2100	2271	2411	2558	2405	1736	1562	1538	1546	1410	1293	1244	1233	1062	931	869	690	639	511	610	531	587	730	925	939	861	841	873	1119	1377	1402	1457	1639	1945	2136
2634	2444	2366	2252	2177	2172	2324	2507	2643	2743	1649	1636	1496	1546	1442	1275	1233	1254	1373	903	961	999	625	563	449	445	609	699	979	934	973	857	887	1023	1126	1345	1520	1584	1488	1411
2412	2413	2323	2141	2036	2229	2319	2595	2681	2793	1501	1468	1466	1468	1419	1302	1325	1180	1245	860	1041	672	707	773	552	458	791	693	701	870	1014	1060	967	935	1186	1247	1337	1465	1352	1327
2377	2285	2153	2085	2084	2258	2328	2439	1746	1616	1474	1433	1529	1643	1397	1337	1253	1072	1009	794	844	759	705	408	528	389	619	610	723	809	961	1084	1110	963	1133	1211	1227	1468	1275	1292
2302	2197	2073	2026	2134	2281	2515	2471	1562	1563	1457	1393	1481	1663	1469	973	936	1041	721	804	889	723	562	529	373	473	446	485	676	833	877	1167	1175	1079	1010	1138	1233	1298	1247	1403
2220	2125	2023	2040	2148	2210	2349	2721	1532	1452	1457	1300	1459	1623	1596	1664	868	773	677	792	909	568	575	469	442	375	550	502	611	816	906	1058	1185	1166	1106	1095	1092	1131	1204	1358
2235	2057	1901	2059	2148	2239	2332	2472	1501	1416	1331	1267	1314	1311	1759	1691	922	839	713	590	543	530	546	352	434	357	618	542	637	756	942	1029	1114	1231	1216	1169	1412	1138	1209	1248
2198	2044	1960	2001	2290	2388	2369	2655	1380	1299	1215	1248	1406	1320	1169	1175	981	847	916	576	550	491	497	404	417	663	618	513	695	794	879	964	1189	1239	1259	1287	1345	1100	1251	1364
1972	1834	1866	2001	1879	2390	2486	2491	1380	1259	1367	1120	1423	1452	1200	1095	1020	931	1018	1073	590	415	420	463	394	664	582	476	630	697	915	1000	1141	1275	1300	1317	1372	1115	1194	1258
1930	1746	1765	1973	1879	1684	1566	2570	1369	1384	1415	1481	1067	1030	1211	1211	1176	1143	987	888	484	420	355	431	39	637	428	448	674	732	814	1047	1088	1278	1176	1196	1087	1036	1080	1270
