1921	1972	1889	1774	1677	1608	1543	1689	1338	1430	1332	1303	1357	1292	1248	1186	949	824	887	881	862	888	853	718	862	757	856	786	661	764	862	804	677	458	564	560	624	766	529	707
1970	1926	1843	1821	1754	1835	1659	1541	1536	1303	1366	1395	1446	1307	1260	1106	917	945	850	758	709	683	779	699	800	662	722	693	620	709	798	741	571	415	550	479	569	537	620	842
1991	1991	1940	2007	1923	1766	1657	1614	1658	1571	1473	1290	1294	1336	1330	1156	1090	962	1004	903	854	776	812	756	580	579	635	616	670	559	605	513	492	436	410	370	393	734	673	791
2112	2094	2001	2087	1950	1787	1671	1678	1658	1539	1395	1369	1253	1222	1341	1125	1257	1032	1077	971	945	908	803	780	851	716	491	529	531	609	478	410	382	330	258	475	451	805	985	909
2042	2094	1979	2121	1867	1789	1845	1722	1672	1495	1423	1377	1343	1244	1133	1160	1032	1066	1049	985	1001	1017	859	889	732	701	651	571	566	368	461	406	523	167	285	374	472	640	678	824
1923	2037	1935	1905	1819	1714	1826	1763	1695	1523	1351	1462	1348	1292	1273	1213	1120	1027	948	971	1024	1033	927	893	778	667	580	549	565	503	376	304	231	215	326	393	474	652	880	799
1880	1892	1873	1767	1784	1816	1712	1727	1703	1758	1489	1472	1432	1331	1308	1237	1203	1161	1000	866	958	1041	901	797	668	617	640	648	647	426	432	236	82	196	386	552	505	695	515	799
1881	1772	1713	1706	1743	1714	1709	1630	1615	1566	1410	1521	1461	1551	1374	1320	1283	1134	1006	1025	867	857	877	715	789	782	845	747	575	475	456	226	173	519	463	630	645	510	836	932
1814	1713	1674	1652	1659	1591	1636	1586	1515	1493	1428	1479	1363	1476	1399	1310	1205	1151	1176	1180	971	934	871	862	807	764	794	715	581	514	365	267	315	584	476	498	513	788	577	699
1834	1948	1676	1741	1724	1745	1499	1494	1494	1454	1406	1386	1326	1209	1287	1261	1247	1169	1104	992	986	809	794	848	814	822	775	639	629	605	411	411	422	440	463	622	653	600	725	671
1938	1916	1831	1769	1664	1731	1575	1637	1606	1571	1510	1460	1344	1318	1170	1135	1310	1158	1097	1163	1108	923	776	925	942	861	631	631	604	461	402	416	434	502	587	668	677	703	717	837
2076	1958	1938	1769	1695	1761	1618	1740	1957	1597	1500	1388	1456	1434	1178	1221	1065	1080	1065	1055	1053	954	956	960	993	905	861	739	562	518	498	587	630	523	706	681	725	660	763	891
1961	1831	2120	1829	1771	1763	1664	1739	1798	1649	1422	1468	1490	1503	1572	1337	1101	1118	908	953	989	1084	1127	1046	1015	1283	864	848	742	618	672	648	657	646	689	766	942	823	735	862
1989	2030	1904	1857	1966	1802	2043	1968	1820	1723	1519	1786	1604	1580	1588	1507	1132	1200	1140	1019	1067	1068	1149	1064	1099	1241	959	833	699	722	735	766	709	719	827	827	925	847	721	785
2061	1971	2000	1954	1968	1929	1642	1592	1548	1436	1510	1744	1765	1613	1625	1599	1293	1186	1158	1065	1082	1060	1361	1114	1203	1041	993	906	758	805	726	841	946	831	802	883	1012	856	722	808
2022	1988	2063	1989	1976	1891	1654	1763	1522	1529	1588	1602	1685	1696	1517	1398	1307	1340	1419	1130	1149	1183	1015	1171	1212	1004	928	891	917	868	827	1027	906	933	926	1017	924	889	797	879
2045	2088	2234	2078	1975	1938	1930	1912	1523	1595	1648	1637	1592	1509	1519	1425	1280	1305	1131	1243	1434	1220	1049	1251	1186	991	902	934	925	921	954	1066	896	1067	958	1063	997	920	747	969
2149	2220	2134	2042	2095	1937	1880	1930	1941	1793	1627	1684	1649	1493	1437	1359	1402	1285	1255	1231	1353	1294	1083	1230	1198	1108	867	935	955	1071	1048	1039	1135	1064	1056	1094	977	808	698	939
2308	2303	2172	2076	2003	1921	1940	1716	1924	1866	1784	1743	1721	1579	1438	1369	1385	1279	1312	1333	1334	1360	1115	1175	1160	1177	927	1024	983	1094	1223	1083	1117	1178	1143	1137	1073	872	821	922
2425	2275	2161	2174	1978	1954	1978	1785	1863	1938	1842	2006	1745	1761	1817	1685	1396	1306	1341	1387	1387	1504	1368	1228	1298	1066	1073	1075	1089	1238	1235	1283	1184	1215	1157	1025	1002	946	973	1011
2398	2294	2221	2174	2007	2055	1973	1776	1892	1930	1894	2024	1905	1682	1584	1624	1827	1407	1437	1565	1537	1522	1479	1186	1085	1206	1010	1069	1113	1168	1317	1185	1203	1168	1103	1008	906	797	1200	1159
